59,http://www.phish.net//setlists/phish-february-26-2003-worcester-centrum-centre-worcester-ma-usa.html
60,http://www.phish.net//setlists/phish-march-02-1993-tipitinas-new-orleans-la-usa.html
61,http://www.phish.net//setlists/phish-july-18-2003-alpine-valley-music-theatre-east-troy-wi-usa.html
62,http://www.phish.net//setlists/phish-march-16-1993-celebrity-theatre-phoenix-az-usa.html
63,http://www.phish.net//setlists/phish-july-29-2003-post-gazette-pavilion-at-star-lake-burgettstown-pa-usa.html
64,http://www.phish.net//setlists/phish-july-30-2003-tweeter-center-at-the-waterfront-camden-nj-usa.html
65,http://www.phish.net//setlists/phish-august-03-2003-loring-commerce-centre-limestone-me-usa.html
66,http://www.phish.net//setlists/phish-december-02-1983-harris-millis-cafeteria-university-of-vermont-burlington-vt-usa.html
67,http://www.phish.net//setlists/phish-december-30-2003-american-airlines-arena-miami-fl-usa.html
68,http://www.phish.net//setlists/phish-december-31-2003-american-airlines-arena-miami-fl-usa.html
69,http://www.phish.net//setlists/phish-march-28-1993-east-gym-humboldt-state-university-arcata-ca-usa.html
70,http://www.phish.net//setlists/phish-november-03-1984-slade-hall-university-of-vermont-burlington-vt-usa.html
71,http://www.phish.net//setlists/phish-april-15-2004-thomas-mack-center-las-vegas-nv-usa.html
72,http://www.phish.net//setlists/phish-december-01-1984-nectars-burlington-vt-usa.html
73,http://www.phish.net//setlists/phish-april-10-1993-aragon-ballroom-chicago-il-usa.html
74,http://www.phish.net//setlists/phish-may-27-1994-warfield-theatre-san-francisco-ca-usa.html
75,http://www.phish.net//setlists/phish-september-28-1990-the-chance-poughkeepsie-ny-usa.html
76,http://www.phish.net//setlists/phish-september-13-1990-the-wetlands-preserve-new-york-ny-usa.html
77,http://www.phish.net//setlists/phish-may-06-1993-palace-theatre-albany-ny-usa.html
78,http://www.phish.net//setlists/phish-may-08-1993-field-house-university-of-new-hampshire-durham-nh-usa.html
79,http://www.phish.net//setlists/phish-may-03-1985-university-of-vermont-burlington-vt-usa.html
80,http://www.phish.net//setlists/phish-october-30-1985-hunts-burlington-vt-usa.html
